Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Rank Initiated,2018-0279-R,2018-05-14,2018-05-14,2018-08-29,DI-1,Completed,Not Sustained,,Crime Lab and Evidence Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Female,26,,,,
Rank Initiated,2018-0338-R,2018-06-06,2018-06-14,,DI-1,Forwarded,Pending,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,Black,Male,23,,,,
Public Initiated,2018-0256-P,2018-05-02,2018-05-03,2018-09-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,36,,Male,Black,26
Public Initiated,2018-0254-P,2018-04-24,2018-05-02,2018-08-30,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,8th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Hispanic,Male,32,,Male,White,79
Public Initiated,2018-0234-P,2018-04-16,2018-04-18,2018-06-19,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,White,Female,29,,Female,Black,
Public Initiated,2018-0251-P,2018-01-28,2018-04-27,2018-09-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,DWI Unit,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,44,,,,
Rank Initiated,2018-0339-R,2018-06-15,2018-06-15,,DI-1,Forwarded,Pending,,Crime Lab and Evidence Division,,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,White,Male,39,,,,
Rank Initiated,2018-0266-R,2018-05-06,2018-05-07,2018-09-06,DI-1,Completed,Not Sustained,ISB - Investigations and Support Bureau,Crime Lab and Evidence Division,Scientific Criminal Investigations Section,Crime Lab Admin,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,54,,,,
Public Initiated,2018-0508-R,2018-09-10,2018-09-12,,DI-1,Active,Pending,FOB - Field Operations Bureau,2nd District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,Black,Male,28,,,,
Public Initiated,2018-0251-P,2018-01-28,2018-04-27,2018-09-06,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,DWI Unit,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,Black,Male,43,,,,
