PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0001,01/01/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Force (Take Down),Alchohol and unknown drugs,Yes,Black,Male,47,,0 feet to 1 feet,Male,Black,29,Large,> 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0001,01/01/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,CEW Exhibited/Laser,Alchohol and unknown drugs,No,Black,Male,32,,0 feet to 1 feet,Male,Black,29,Large,> 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0001,01/01/2016,FOB - Field Operations Bureau,2nd District,C Platoon,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Force (Escort Tech),Alchohol and unknown drugs,Yes,Black,Male,32,,0 feet to 1 feet,Male,Black,29,Large,> 6'3'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0003,01/01/2016,ISB - Investigations and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),Unknown,Yes,White,Male,31,,0 feet to 1 feet,Male,White,19,Medium,5'7'' to 5'9'',No,No,Yes,,Battery on Police Officer,No
FTN2016-0004,01/01/2016,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Heavy,Hands,Unknown,Yes,Hispanic,Male,36,,0 feet to 1 feet,Male,Black,22,Small,5'4'' to 5'6'',No,No,Yes,Illegal Carrying of a Weapon,Resisting Lawful Arrest,No
FTN2016-0004,01/01/2016,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,,,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Heavy,Hands,Unknown,Yes,White,Male,29,,0 feet to 1 feet,Male,Black,22,Small,5'4'' to 5'6'',No,No,Yes,Illegal Carrying of a Weapon,Resisting Lawful Arrest,No
FTN2016-0005,01/02/2016,FOB - Field Operations Bureau,5th District,Narcotics,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,CEW Deployment,Alchohol,No,White,Male,29,,7 feet to 10 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,Yes
FTN2016-0005,01/02/2016,FOB - Field Operations Bureau,5th District,Narcotics,Narcotics,Regular Working,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,CEW Deployment,Alchohol,No,Black,Male,27,,7 feet to 10 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,refuse verbal commands,Yes
FTN2016-0006,01/02/2016,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,Unknown,Yes,White,Male,29,,4 feet to 6 feet,Male,Black,15,Small,5'0'' to 5'3'',No,No,No,,Other,No
FTN2016-0007,01/04/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,37,,7 feet to 10 feet,Male,Black,35,Large,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0007,01/04/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,38,,7 feet to 10 feet,Male,Black,35,Large,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0007,01/04/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),None detected,Yes,White,Male,40,,7 feet to 10 feet,Male,Black,35,Large,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No
FTN2016-0008,01/04/2016,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,Alchohol,Yes,White,Male,,,0 feet to 1 feet,,,45,Medium,5'4'' to 5'6'',No,Yes,Yes,,Battery on Police Officer,Yes
FTN2016-0009,01/04/2016,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),Unknown,Yes,Hispanic,Male,28,,1 feet to 3 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,Yes
FTN2016-0010,01/05/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Arresting,,Clear Conditions,Firearm (Exhibited),Unknown,Yes,White,Male,31,,15 feet to 18 feet,Male,Black,18,Medium,5'10'' to 6'0'',No,Yes,Yes,,Escape,No
FTN2016-0011,01/05/2016,FOB - Field Operations Bureau,4th District,Task Force,B,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Escort Tech),None detected,Yes,Black,Male,35,,0 feet to 1 feet,Male,Black,38,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0011,01/05/2016,FOB - Field Operations Bureau,4th District,Task Force,B,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands,None detected,Yes,Black,Male,35,,0 feet to 1 feet,Male,Black,38,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
